Date.Lodged,National,Ashburton District,Auckland,Buller District,Carterton District,Central Hawkes Bay District,Central Otago District,Christchurch,Clutha District,Dunedin,Far North District,Franklin District,Gisborne District,Gore District,Grey District,Hamilton,Hastings District,Hauraki District,Horowhenua District,Hurunui District,Invercargill,Kaikoura District,Kaipara District,Kapiti Coast District,Kawerau District,Lower Hutt,Mackenzie District,Manawatu District,Manukau,Marlborough District,Masterton District,Matamata-Piako District,Napier,Nelson,New Plymouth District,North Shore,Opotiki District,Otorohanga District,Palmerston North,Papakura District,Porirua,Queenstown-Lakes District,Rangitikei District,Rodney District,Rotorua District,Ruapehu District,Selwyn District,South Taranaki District,South Waikato District,South Wairarapa District,Southland District,Stratford District,Tararua District,Tasman District,Taupo District,Tauranga District,Thames-Coromandel District,Timaru District,Upper Hutt,Waikato District,Waimakariri District,Waimate District,Waipa District,Wairoa District,Waitakere,Waitaki District,Waitomo District,Wanganui District,Wellington,Western Bay Of Plenty District,Westland District,Whakatane District,Whangarei District
1/01/1993,146.1371628,108.130007,184.5727437,85.73672939,94.68316689,NA,90.3334421,145.228043,72.25468902,134.218006,123.7488412,161.3732519,118.7050463,83.83222596,99.28076935,133.9735138,126.4119694,106.8966218,118.9744769,77.85261534,91.59769955,84.83669363,94.43055664,147.7351505,117.039614,147.571479,NA,123.2070573,189.3152035,131.1860391,111.0647676,110.6081015,134.338287,143.9812363,124.6390391,199.5130846,102.2558459,NA,152.5463647,166.2585209,157.9490876,167.1996316,90.65147902,142.9819254,126.7900856,90.94179585,121.6440399,102.1953605,97.95423601,112.448828,107.0955009,89.71266677,91.14353702,127.9081411,121.1875713,148.8930678,123.3550298,102.2787882,155.5524003,115.2977265,149.6429806,NA,136.3632905,87.60523434,171.2541239,90.45050646,87.47497497,122.1554167,182.8057457,123.8198672,NA,123.8245117,118.0169844
1/02/1993,148.7365246,95.67826487,187.0981574,77.67724276,105.0935172,98.48749662,99.80894935,149.2573032,69.63540163,151.4877474,118.5426566,146.0260013,118.1518951,95.98955294,114.4525168,132.5054017,133.8714288,122.8031763,120.3973761,NA,101.1636632,NA,100.6976077,152.0995256,113.2903316,157.7955939,NA,122.9716754,178.1428474,124.8834347,104.3338289,114.9054811,136.9206182,146.8402052,121.3612687,203.987908,NA,NA,150.9749528,164.4883482,156.9649012,155.7814795,87.57621322,156.032131,129.6532924,86.36893475,129.7430395,94.07698551,100.4437181,108.2942522,62.28119582,84.32695379,96.42468758,134.8022699,124.68548,147.5059248,130.4802378,105.5570788,156.5036133,114.075814,144.8497215,85.3757652,132.0455105,105.2135157,179.6648769,79.98431563,88.09916283,114.666198,179.9989828,132.9693545,NA,124.9852903,120.5207749
1/03/1993,148.5554046,103.105948,179.8609502,85.77375579,97.00300997,116.2071052,99.60325443,149.1206987,68.7302879,158.0540879,105.3877529,139.758589,115.1391833,87.17491645,103.0523597,133.4468818,134.5053305,116.4603648,115.2320451,58.46207982,92.60817645,95.71282766,102.0683221,147.8671389,112.810529,156.5279363,NA,129.4386083,181.9081944,128.7863898,113.4401728,111.7292836,139.0928255,144.4206647,137.142397,201.6334193,100.1681376,NA,150.4534114,165.5383942,171.8242297,151.7983632,98.62540048,150.0026965,126.7819574,81.89886955,152.1172783,113.6923589,97.29113206,104.8190795,56.67542874,97.51559757,94.50312613,118.6377459,126.0439573,149.3848517,120.5673678,96.28946981,143.6066503,107.86716,144.8005075,NA,135.3783651,70.60036058,179.3198787,73.194585,73.69320577,114.4676897,183.0004632,119.4534086,109.846241,113.1476642,118.7999255
1/04/1993,147.973549,113.052645,184.2931809,84.28497955,108.6547269,99.58157572,107.5575445,144.9519938,82.66807812,143.9648271,113.6560154,152.1830397,116.6570932,80.4235629,109.9557432,132.8864788,134.7906607,121.8098112,119.9010106,68.3267251,96.88307547,90.71289622,109.3171966,143.432492,97.97151902,164.2976798,63.49818149,107.9347169,174.1745017,127.3502722,104.078958,117.821941,138.5753,145.453615,127.2371394,210.1078439,107.2165207,NA,160.6632308,170.936334,164.7699485,159.7081573,87.7394618,157.1639254,120.7083688,81.81213471,119.7776181,97.50195369,89.56284098,99.77690842,71.74562547,89.47563505,80.69757953,129.954477,128.1937618,147.9927856,118.3359518,101.0116733,150.9389808,106.3284933,135.3210705,95.31636784,134.6969016,88.12390161,177.1458465,72.12835573,85.32463525,113.2074396,179.5657048,135.6335098,115.2396765,133.2213677,119.130285
1/05/1993,148.5938073,120.4220144,190.0758222,74.55838546,94.31197038,103.8621837,106.705248,145.4630636,76.08716423,133.0193849,117.7626301,150.6191516,116.6044028,85.14471589,97.61117671,137.5039901,140.4045584,95.98865001,119.7996108,112.4287961,100.7859522,95.93585701,95.06932035,149.5136238,114.3496902,158.1865588,NA,127.0137539,184.3018838,124.2988704,111.0410429,107.2560306,141.9319377,149.6557808,131.1590606,205.3740971,115.8952994,NA,143.9285246,169.4519452,157.2809845,153.9585367,93.07417547,155.9186263,123.8594707,90.14746927,108.7296106,98.32128889,104.0475362,101.4680617,81.05490124,87.43174098,98.35156957,148.9748014,129.2263035,150.1370204,120.0650161,103.8535891,137.3203258,111.7972419,139.2383188,74.60363368,136.1935142,93.71367907,180.7562684,70.4610796,78.64104051,114.6141337,190.78903,124.8556349,NA,125.0532245,118.8092419
1/06/1993,148.032173,93.27231078,182.1395281,92.94118989,114.1767581,117.461006,106.7993025,147.4779514,75.98249363,121.4163784,114.3270136,149.9396417,118.6168409,86.82113128,101.5081961,135.1410354,135.0627623,120.6894546,122.6382847,97.18535244,101.6811279,NA,84.18442445,145.9468275,104.5657731,156.7119712,76.57407417,123.7945093,179.0688722,127.8316384,107.7945577,113.7494493,143.1792655,147.6069131,128.7292663,198.8104536,77.52601976,NA,150.2039297,177.5832526,169.2932374,155.1904421,107.7351736,158.9239106,124.8772255,91.53365368,130.8852576,102.5692976,99.63929584,87.76354953,64.39395244,100.4805752,101.4493036,136.1361675,132.2535014,150.0050684,121.3556986,104.6943284,147.7930641,123.6667188,140.254011,NA,134.7731895,71.28087032,179.1840719,91.5149734,85.12032043,121.6503012,188.0913871,121.4508765,NA,128.7866368,119.3783238
1/07/1993,149.6024613,120.9683749,193.9927451,89.97391775,102.8989457,110.7136642,102.9164092,148.8809085,77.16097123,131.6228361,110.6008328,148.4948942,124.7501519,88.0000272,111.4305153,133.4357199,132.8459528,104.9859315,118.6425006,78.05560668,102.7099832,118.5340631,97.51339457,139.9610937,121.1497648,164.8523863,NA,133.8278356,186.0152917,128.4595598,111.8553743,108.3184641,137.5968994,144.420828,128.0362023,207.0077504,101.5839695,NA,140.9629644,175.8601567,164.9214989,162.8907948,92.13023008,158.2129208,126.3521923,91.98013137,127.1503474,86.37817289,101.8869111,104.8301318,70.81145695,83.05567893,96.97166143,119.6550165,121.5166652,147.7969382,122.0787747,101.8232784,150.6237618,113.0172862,142.2303833,NA,133.280563,90.53099896,178.2019128,83.3895625,84.69246807,117.7083006,184.0082284,131.630902,92.43004114,126.3058845,113.6490933
1/08/1993,149.1577076,116.8605886,191.9294782,93.04552547,108.8364515,117.5543177,107.2078249,143.5627886,73.43591463,130.4994861,112.5061107,151.952542,122.8541149,92.83756411,103.2607442,133.1714763,140.7851893,112.207469,122.8434483,81.15373878,101.9463469,108.1330345,95.54463944,141.4056827,118.943044,154.9386752,73.44252981,126.2220883,188.0115555,125.9622372,108.7278465,115.9827238,140.3030985,147.6475637,135.6614245,207.6361416,NA,94.44392649,140.5315608,173.2124502,149.1867618,195.5878646,99.22713214,156.7061953,127.4024359,94.20946811,122.6506476,104.0996228,110.0437801,105.0454241,61.16788629,94.52697887,92.45638115,140.4806757,125.5420825,151.4675245,120.3715789,111.8894457,143.694159,109.2814512,140.0388327,92.01725611,136.9273683,98.99693958,182.526322,82.99531957,69.03544861,115.1650996,185.4770525,127.1289317,119.5975703,128.3852239,123.1788988
1/09/1993,150.680074,113.9799029,191.4908803,61.0040363,99.01599519,121.1281399,105.2294429,146.343851,84.21803588,131.8644292,113.5802505,153.5362649,123.4196976,93.6790682,106.7148912,134.8068006,142.1370319,122.248006,115.6831736,NA,103.0852149,104.722345,113.8948355,142.2673963,98.52638534,152.7669163,63.66338515,139.2676868,181.9953289,130.0790453,112.4369761,110.6331174,151.662691,149.3475434,127.7940027,208.7953419,109.7150772,NA,145.3658844,177.4294365,165.3332818,179.4521293,94.87364554,163.5930391,131.3700592,88.03428099,153.5852759,107.3614192,103.7787805,105.1732826,89.05466241,96.23022992,102.5825806,140.4353246,127.3409232,148.5257417,129.0248137,102.4984789,131.3156336,106.4846118,140.2551155,NA,135.4697159,89.19440721,178.1476912,96.60127119,97.79533283,112.7619578,186.6661972,130.2009904,108.0063673,134.2236347,119.1183518
1/10/1993,152.3796635,113.3048949,193.833684,93.16813937,111.9529857,88.10743793,109.6874328,144.8423028,84.03512288,153.1596141,112.1575398,156.1778895,126.9067726,88.00538384,111.0411498,142.60655,140.7827009,116.7302611,123.9278983,46.73440205,98.99523036,NA,86.36357195,141.4977431,109.1362543,157.3745345,NA,133.9263659,186.9136124,130.793538,109.2548058,113.9282719,142.9607757,150.7619353,127.1125978,207.9549316,108.0327076,NA,152.5807659,170.4697507,159.6493671,169.7214082,100.8869646,160.0948185,125.9279963,87.83453266,117.324888,94.7512001,101.8960944,102.9147019,72.44258321,92.37985566,97.86827672,132.0977773,129.9387484,153.3015591,126.5183038,106.8789252,154.4332045,115.0837213,131.6217157,NA,126.9091486,92.01754759,182.2024301,84.66343481,NA,115.8936525,182.5598625,133.9492457,113.8175166,135.7486194,120.6842248
